,Unnamed: 0,comment,sentimen
0,0,terbaik bapak prabowoinsyaallah akan berjaya,Neutral
1,1,menurut saya kesejahteraaan rakyat seperti kami inibukan kesejahteraan guruwalaupun guru juru kunci kebangkitan suatu bangsagimana masyarakat bisa jadi guru jika rakyat tidak sejahtrasalammmm dari medan,Neutral
2,2,terima kasih banyak juga untuk bapa presiden  prabowo atas dengan kepada kita guru saya dari papua selatan kabupaten mappi,Neutral
3,3,mantap pak prabowo,Neutral
4,4,alhamdulillah masya allah tabarokallah barakallahu fiik pak presiden sehat2 sll bersama keluarga dan rakyat indonesia aamiin ,Neutral
5,5,apakah termasuk dosen suami sy dosen 12tahun dari dulu 100 sekarang 500 tapi alhamdulillah,Neutral
6,6,kira2 gaji perawat bisa naikkah pak,Neutral
7,7,smp negeri mbua yontus lokbere,Neutral
8,8,sehat selalu ya pak presiden,Neutral
9,9,banyak pak sekolah di duson2 jalan melewati tiap pagi diabaikan puluhan th tidak direhap sekali atou karna diduson letaknya mohon pak prabowo yg baik supaya guru tepat waktu,Neutral
10,10,harus itu pak krn masak sekolah bertahun thn yrs jadi guru yg masih honor kok gaji 400,Neutral
11,11,semuanya boong dari dulu meman sudah dibayar sebulan gaji pokok jong semuanya pns guru tidak bodoh dan jangan dibodoh bodohi,Neutral
12,12,kalau benar semua guru gajih nya di naik kan pasti setuju pakjangan di bulli100 untuk guru asn 2000000 untuk non asnkita dukung dan sangat setujusudah saat nya guru di perhatikan bukan di bullisejak bu sri di angkat jadi mentri pak joko wi guru hanya di jadi kan kambing hitamkata nya ad tunjangan ini itu uang makan apalah nyata guru smp guru sd di daerah hanya gigit jari tak berdaya untuk melawan pemveritaan yg kowar tentang guru naik gajih lah guru trima uang makan lah tp okalau pak prabowo benar naik kan gajih guru ons 100 dan guru honorer 2000000 ini baru presiden yg hebat dan menjujung tinggi akan ada nya    keperdulian pahlawan ilmu di indonesuasemoga bener gajih guru naik,Neutral
13,13,nangis tapi naikin pajak 12 persen hahai lucu,Neutral
14,14,pak prabowo pemerintah bisa gajih dpr ratusan jutatp kalau gajih guru buat hidup 1 bulan aja kalau tdk punya sampingan sangat sulitgaji guru perbulan paling tdk 10000000 pak baru presiden yg benar perduli dgn nasib pahlawan bangsakalau pak prabowo benar menaik kan gajih guru 100 kita akan menjuluk i pak prabowo adalah presiden yg  pahlawan guru,Neutral
15,15,alhamdulilah semoga benar adanya sehat selalu untuk para pemimpin  guru sejahtera bangsa indonesia jaya aamiin,Neutral
16,16,bravo mr presiden  luar biasa tangan mu untuk pengabdian kepada rakyat sang jendral yang sangat bijaksana sehat selalu pak prabowo luar biasa,Neutral
