,comment,sentimen
0,"Terbaik bapak prabowo.
InsyaAllah akan berjaya.",Neutral
1,MENURUT SAYA KESEJAHTERAAAN RAKYAT SEPERTI KAMI INI.BUKAN KESEJAHTERAAN GURU.WALAUPUN GURU JURU KUNCI KEBANGKITAN SUATU BANGSA.GIMANA MASYARAKAT BISA JADI GURU JIKA RAKYAT TIDAK SEJAHTRA????.SALAMMMM DARI MEDAN,Neutral
2,"Terima kasih banyak juga untuk bapa presiden , Prabowo ,atas dengan kepada kita guru ,saya dari Papua selatan ,kabupaten mappi",Neutral
3,Mantap pak prabowo,Neutral
4,"Alhamdulillah Masya Allah Tabarokallah Barakallahu Fiik pak Presiden sehat2 sll bersama keluarga dan Rakyat Indonesia,, Aamiin 🤲🥰",Neutral
5,"Apakah termasuk dosen😢, suami sy dosen 12tahun dari dulu 100 sekarang 500, tapi alhamdulillah",Neutral
6,Kira2 gaji Perawat bisa naikkah pak..?,Neutral
7,SMP NEGERI MBUA YONTUS LOKBERE,Neutral
8,sehat selalu ya pak. Presiden.,Neutral
9,Banyak pak sekolah di duson2 jalan melewati tiap pagi diabaikan puluhan th tidak direhap sekali atou karna diduson letaknya mohon pak prabowo yg baik supaya guru tepat waktu.,Neutral
10,Harus itu pak krn masak sekolah bertahun thn yrs jadi guru yg masih honor kok gaji 400,Neutral
11,Semuanya boong dari dulu meman sudah dibayar sebulan gaji pokok jong semuanya pns guru tidak bodoh dan jangan dibodoh bodohi,Neutral
12,"Kalau benar"" Semua guru gajih nya di naik kan pasti setuju Pak..jangan di bulli..100% untuk guru ASN 2000,000 untuk non AsN..kita dukung dan sangat setuju..sudah saat nya guru di perhatikan bukan di bulli..sejak bu sri di angkat jadi mentri pak joko wi guru hanya di jadi kan kambing hitam..kata nya ad tunjangan ini itu uang makan apalah nyata guru SMP guru S,d di daerah hanya gigit jari tak berdaya untuk melawan pemveritaan yg kowar"" tentang guru naik gajih lah guru trima uang makan lah tp O,kalau pak prabowo benar"" Naik kan gajih guru ONS 100% dan guru honorer 2000,000 ini Baru Presiden yg hebat dan menjujung tinggi akan ada nya    keperdulian pahlawan ilmu di indonesua..semoga bener"" gajih guru Naik",Neutral
13,nangis tapi naikin pajak 12 persen hahai lucu,Neutral
14,"Pak Prabowo pemerintah bisa gajih DPR ratusan juta..tp kalau gajih guru buat hidup 1 bulan aja kalau tdk punya sampingan sangat sulit..gaji guru perbulan paling tdk 10,000,000 pak baru presiden
 yg benar"" perduli dgn Nasib pahlawan bangsa..kalau pak Prabowo benar"" Menaik kan gajih guru 100% kita akan menjuluk i Pak Prabowo adalah Presiden yg  pahlawan guru",Neutral
15,"Alhamdulilah semoga benar adanya, sehat selalu untuk para pemimpin , Guru sejahtera bangsa Indonesia jaya, aamiin",Neutral
16,Bravo Mr Presiden . Luar Biasa tangan mu untuk pengabdian kepada rakyat. Sang jendral yang sangat bijaksana. sehat selalu pak Prabowo. Luar Biasa...,Neutral
17,Sebenarnya gaji guru pns bersertifikasi udah 2x sejak 2008 sejak era. SBY.  Sama seperti dulu.  Yg beda hanya honorer ditambah 2 juta.  Jadi kenapa harus bilang gaji guru naik 2jt?  Saya kecewa karna hal ini harga barang naik.,Neutral
18,Luar biasa❤,Neutral
19,"Terima kasih banyak bapak presiden yang baru kali ini kami sebagai guru di angkt derajatnya kami,,,terlebih kami yang masih honor,, bahwa didalam masyarakat,,kami direndahkan ,karena kami cuman guru honor sj,,beda dengan PNS dan p3k,,,jujur pak kami sangat bahagia dan srmoga kami tidak di persulitkan,,karena kami srbagai pendidik tidak menyulitkan anak dalam kegiatan belajar mengajar,,terlebih kami sebagai pendidk,,,,dimana semua keadaan kami harus berusaha unutk meniru sifat Tuhan Yesus,,,sperti: 1.menyayangi,panjang sabar ,tidak membeda"" kan,,dll.Tuhan selalu memberkati masa jabatanmu bapak presiden  serta semuanya yang menjadi atasannya kami,,,syalom.🙏❤️",Neutral
20,Kalau sakit tidak bisa bangkit pa presiden,Neutral
21,"Saya memang bukan seorang guru, tapi saya bangga sama Bpk presiden prabowo, niat Bpk untuk membangun negri ini. Semoga Presiden prabowo sehat selalu. Aamiin ya Allah.",Neutral
22,Itu termasuk guru ngaji,Neutral
23,Ekonomi tidak akan tumbuh kalo sopi lazada tidak ditutup gara2 perdagangan online yg memuat semua UMKM tbang,Neutral
24,Air mata yang keluar dari mata  seorang presiden itu bukti ketulusan dalam memperjuangkan nasib bangsa indonesia semangat yg berkobar kobar untuk berjuang untuk rakyat jelata terima kasih presiden kami yg baik dan tulus✊✊✊,Neutral
25,👍,Neutral
26,Ya kita setujuh 2 priode sebagai presiden Indonesia Kuat Maju dan sejahtera,Neutral
27,"Pak presiden Prabowo Subiyanto yg terhormat Bpk adalah putra yg terbaik Indonesi yg berjuang mengubah nasib Indonesia yg lebih baik terlebih kepada guru2 di Indonesia Kuat, Maju dan sejahtera dalam buat pak presiden Prabowo Subiyanto yg terhormat terima kasih Tuhan Yesus memberkati syalom 🙏🙏🙏✊✊✊",Neutral
28,"Gaji guru naik 2x, ukt naik 4x. Hebat",Neutral
29,Semoga para petani juga dpt pupuk dgn mudah,Neutral
30,Tolong Untuk penjaga yg blm pns juga  harus d perhatik🙏,Neutral
31,"Terima kasih Pak Presiden. 
Doa kami sehat selalu. 
Allah Jaga Allah Sayang
Hormat. 
Merdeka, merdeka, merdeka🇮🇩🇮🇩🇮🇩",Neutral
32,Subhanallah trima kasih pak presiden ❤❤❤,Neutral
33,"Dikampung saya guru sudah pada bermobil pak, tp ga sedikit jg yg bermotor...",Neutral
34,Nasib nakes perawat gimana pak..yg jadi HL..,Neutral
35,"Sepanjang liat video ini saya nangis terus😊ma Syaa Allah, akhirnya.. Allah bukakan jalan",Neutral
