comm_date,author,author_id,likes,comment,sentimen,video_id
2024-12-04T17:05:33Z,@s.mkamil9599,UC3krnhd7wTnV1JkWd3YhpwQ,0,"Terbaik bapak prabowo.
InsyaAllah akan berjaya.",Neutral,IlfOrVlcVHA
2024-12-04T15:34:33Z,@Agus.S-5028,UC5DH0hshW7uauFy02kvGC1A,0,MENURUT SAYA KESEJAHTERAAAN RAKYAT SEPERTI KAMI INI.BUKAN KESEJAHTERAAN GURU.WALAUPUN GURU JURU KUNCI KEBANGKITAN SUATU BANGSA.GIMANA MASYARAKAT BISA JADI GURU JIKA RAKYAT TIDAK SEJAHTRA????.SALAMMMM DARI MEDAN,Neutral,IlfOrVlcVHA
2024-12-04T12:04:16Z,@YosKabakaimu,UCuabOY9TpLjlaXpNPj0cF6A,0,"Terima kasih banyak juga untuk bapa presiden , Prabowo ,atas dengan kepada kita guru ,saya dari Papua selatan ,kabupaten mappi",Neutral,IlfOrVlcVHA
2024-12-04T08:13:37Z,@NirmalaNirmala-jx1nw,UCngsZFrsgd9mjRJJKgcGL5w,0,Mantap pak prabowo,Neutral,IlfOrVlcVHA
2024-12-04T08:10:35Z,@syarinifira6299,UCz5lQBAUjR_eFtt2d9mpgHw,0,"Alhamdulillah Masya Allah Tabarokallah Barakallahu Fiik pak Presiden sehat2 sll bersama keluarga dan Rakyat Indonesia,, Aamiin 🤲🥰",Neutral,IlfOrVlcVHA
2024-12-04T07:56:32Z,@sahidachannel2943,UCd57hjRwp1Ek2QA-23RQCzQ,0,"Apakah termasuk dosen😢, suami sy dosen 12tahun dari dulu 100 sekarang 500, tapi alhamdulillah",Neutral,IlfOrVlcVHA
2024-12-04T06:08:02Z,@KristinBoyoh,UCajzKD6Dz2r2rweQP01i2hQ,0,Kira2 gaji Perawat bisa naikkah pak..?,Neutral,IlfOrVlcVHA
2024-12-04T06:00:41Z,@yontuslokbere8657,UCDZRI--YX3LauwG45fNrO4Q,0,SMP NEGERI MBUA YONTUS LOKBERE,Neutral,IlfOrVlcVHA
2024-12-04T05:00:16Z,@pras4912,UCJkPqxAX-5HW3KsUZ3QGgIQ,0,sehat selalu ya pak. Presiden.,Neutral,IlfOrVlcVHA
2024-12-04T04:40:00Z,@Maisarah-dm8ig,UCO63TNvSWpjVCSOTBi2AnjQ,0,Banyak pak sekolah di duson2 jalan melewati tiap pagi diabaikan puluhan th tidak direhap sekali atou karna diduson letaknya mohon pak prabowo yg baik supaya guru tepat waktu.,Neutral,IlfOrVlcVHA
